[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01111.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115590TN.pdf  
[2026-02-15 20:01:03] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115591TN.pdf  
[2026-02-15 20:01:04] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01112.pdf  
[2026-02-15 20:01:04] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115592TN.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01113.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115593TN.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115594TN.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01114.pdf  
[2026-02-15 20:01:05] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115595TN.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115596TN.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01115.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115597TN.pdf  
[2026-02-15 20:01:06] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01116.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115598TN.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115599TN.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01117.pdf  
[2026-02-15 20:01:07] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115600TN.pdf  
[2026-02-15 20:01:08] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01118.pdf  
[2026-02-15 20:01:08] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01119.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01120.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/MNREA01121.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115601TN.pdf  
[2026-02-15 20:01:09] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115602TN.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115603TN.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115604TN.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/21002189PA.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003536PA.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003535PA.pdf  
[2026-02-15 20:01:10] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23004697PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24000629PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23005786PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003534PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003532PA.pdf  
[2026-02-15 20:01:11] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025744.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24000587PA.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003531PA.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23004695PA.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025745.pdf  
[2026-02-15 20:01:12] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003528PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/23004696PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003527PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025746.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24002952PA.pdf  
[2026-02-15 20:01:13] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24000467PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003526PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025747.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24005968PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/24005971PA.pdf  
[2026-02-15 20:01:14] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003524PA.pdf  
[2026-02-15 20:01:15] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025748.pdf  
[2026-02-15 20:01:15] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003523PA.pdf  
[2026-02-15 20:01:15] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/26003522PA.pdf  
[2026-02-15 20:01:15] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025749.pdf  
[2026-02-15 20:01:15] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025750.pdf  
[2026-02-15 20:01:16] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025751.pdf  
[2026-02-15 20:01:16] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025752.pdf  
[2026-02-15 20:01:16] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025753.pdf  
[2026-02-15 20:01:16] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025754.pdf  
[2026-02-15 20:01:16] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025755.pdf  
[2026-02-15 20:01:17] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025756.pdf  
[2026-02-15 20:01:17] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025757.pdf  
[2026-02-15 20:01:17] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025758.pdf  
[2026-02-15 20:01:17] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025759.pdf  
[2026-02-15 20:01:17] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025760.pdf  
[2026-02-15 20:01:18] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025761.pdf  
[2026-02-15 20:01:18] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/CertD025762.pdf  
[2026-02-15 20:01:18] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115605TN.pdf  
[2026-02-15 20:01:18] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115606TN.pdf  
[2026-02-15 20:01:18] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115607TN.pdf  
[2026-02-15 20:01:19] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115608TN.pdf  
[2026-02-15 20:01:19] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115609TN.pdf  
[2026-02-15 20:01:19] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115610TN.pdf  
[2026-02-15 20:01:19] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115611TN.pdf  
[2026-02-15 20:01:19] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115612TN.pdf  
[2026-02-15 20:01:19] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115613TN.pdf  
[2026-02-15 20:01:20] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115614TN.pdf  
[2026-02-15 20:01:20] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115615TN.pdf  
[2026-02-15 20:01:20] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115616TN.pdf  
[2026-02-15 20:01:20] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115617TN.pdf  
[2026-02-15 20:01:20] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115618TN.pdf  
[2026-02-15 20:01:21] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115619TN.pdf  
[2026-02-15 20:01:21] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115620TN.pdf  
[2026-02-15 20:01:21] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115621TN.pdf  
[2026-02-15 20:01:21] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115622TN.pdf  
[2026-02-15 20:01:21] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115623TN.pdf  
[2026-02-15 20:01:22] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115624TN.pdf  
[2026-02-15 20:01:22] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115625TN.pdf  
[2026-02-15 20:01:22] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115626TN.pdf  
[2026-02-15 20:01:22] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115627TN.pdf  
[2026-02-15 20:01:22] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112496TN.pdf  
[2026-02-15 20:01:23] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112497TN.pdf  
[2026-02-15 20:01:23] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112498TN.pdf  
[2026-02-15 20:01:23] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112499TN.pdf  
[2026-02-15 20:01:23] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112500TN.pdf  
[2026-02-15 20:01:24] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112501TN.pdf  
[2026-02-15 20:01:24] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112502TN.pdf  
[2026-02-15 20:01:24] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112503TN.pdf  
[2026-02-15 20:01:24] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112504TN.pdf  
[2026-02-15 20:01:24] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112505TN.pdf  
[2026-02-15 20:01:25] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112506TN.pdf  
[2026-02-15 20:01:25] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22112507TN.pdf  
[2026-02-15 20:01:25] local.INFO: Successfully uploaded: tpsdi/backend/pdf_file/22115628TN.pdf  
